

V E R S I O N   I N F O R M A T I O N :                           
RxDeviceDiagnosticsObject                                     0   
RxDeviceDiagnosticsObjectCollection                           0   
RxDeviceNetBus                                                0   
RxDeviceObj                                                   4   
RxDiagnosticsMessage                                          0   
RxDiagnosticsMessageCollection                                0   
RxDrawingElement                                              1   
RxDrawingModule                                               0   
RxDrawingModuleCollection                                     0   
RxDrive5730VB                                                 0   
RxDriveVB                                                     0   
RxEEO                                                         0   
RxEEOCollection                                               0   
RxERRD                                                        3   
RxERRDCollection                                              0   
RxEncryptedComponentInfo                                      1   
RxEquipmentPhase                                              3   
RxEquipmentPhaseCollection                                    0   
RxEthernetBus                                                 0   
RxExtDeviceObj                                                6   
RxFBD_AbsBlock                                                2   
RxFBD_AbsFunction                                             1   
RxFBD_AcsBlock                                                2   
RxFBD_AcsFunction                                             1   
RxFBD_AddBlock                                                2   
RxFBD_AddFunction                                             1   
RxFBD_AlarmAnalogBlock                                        5   
RxFBD_AlarmDigitalBlock                                       5   
RxFBD_AlmBlock                                                2   
RxFBD_AndBlock                                                2   
RxFBD_AndFunction                                             1   
RxFBD_AsnBlock                                                2   
RxFBD_AsnFunction                                             1   
RxFBD_Atan2Function                                           1   
RxFBD_AtnBlock                                                2   
RxFBD_AtnFunction                                             1   
RxFBD_BandBlock                                               2   
RxFBD_BandFunction                                            1   
RxFBD_BlockCompilerRegionList                                 4   
RxFBD_BnotBlock                                               2   
RxFBD_BnotFunction                                            1   
RxFBD_BorBlock                                                2   
RxFBD_BorFunction                                             1   
RxFBD_BtdtBlock                                               1   
RxFBD_BxorBlock                                               2   
RxFBD_BxorFunction                                            1   
RxFBD_CosBlock                                                2   
RxFBD_CosFunction                                             1   
RxFBD_CtudBlock                                               2   
RxFBD_D2sdBlock                                               2   
RxFBD_D3sdBlock                                               2   
RxFBD_DedtBlock                                               2   
RxFBD_DegBlock                                                2   
RxFBD_DegFunction                                             1   
RxFBD_DervBlock                                               2   
RxFBD_DffBlock                                                2   
RxFBD_DivBlock                                                2   
RxFBD_DivFunction                                             1   
RxFBD_EquBlock                                                2   
RxFBD_EquFunction                                             1   
RxFBD_EselBlock                                               2   
RxFBD_ExecutionModel                                          2   
RxFBD_FeedbackWire                                            7   
RxFBD_FgenBlock                                               2   
RxFBD_FrdBlock                                                2   
RxFBD_FunctionOutputTagManager                                0   
RxFBD_GeqBlock                                                2   
RxFBD_GeqFunction                                             1   
RxFBD_GrtBlock                                                2   
RxFBD_GrtFunction                                             1   
RxFBD_HMIButtonControlBlock                                   2   
RxFBD_HllBlock                                                2   
RxFBD_HpfBlock                                                2   
RxFBD_InRefCompilerRegionList                                 1   
RxFBD_InputRef                                                2   
RxFBD_InputWireConnector                                      1   
RxFBD_IntgBlock                                               2   
RxFBD_JkffBlock                                               2   
RxFBD_LanguageContainer                                       3   
RxFBD_LatchedTagManager                                       4   
RxFBD_Ldl2Block                                               2   
RxFBD_LdlgBlock                                               2   
RxFBD_LeqBlock                                                2   
RxFBD_LeqFunction                                             1   
RxFBD_LesBlock                                                2   
RxFBD_LesFunction                                             1   
RxFBD_LimBlock                                                2   
RxFBD_LimFunction                                             1   
RxFBD_LnBlock                                                 2   
RxFBD_LnFunction                                              1   
RxFBD_LogBlock                                                2   
RxFBD_LogFunction                                             1   
RxFBD_LpfBlock                                                2   
RxFBD_MaveBlock                                               2   
RxFBD_MaxBlock                                                2   
RxFBD_MeqBlock                                                2   
RxFBD_MeqFunction                                             1   
RxFBD_MinBlock                                                2   
RxFBD_ModBlock                                                2   
RxFBD_ModFunction                                             1   
RxFBD_MstdBlock                                               2   
RxFBD_MulBlock                                                2   
RxFBD_MulFunction                                             1   
RxFBD_MuxBlock                                                2   
RxFBD_MvmtBlock                                               1   
RxFBD_NegBlock                                                2   
RxFBD_NegFunction                                             1   
RxFBD_NeqBlock                                                2   
RxFBD_NeqFunction                                             1   
RxFBD_NotBlock                                                2   
RxFBD_NotFunction                                             1   
RxFBD_NtchBlock                                               2   
RxFBD_OrBlock                                                 2   
RxFBD_OrFunction                                              1   
RxFBD_OscBlock                                                2   
RxFBD_OsfiBlock                                               2   
RxFBD_OsriBlock                                               2   
RxFBD_OutRefCompilerRegionList                                1   
RxFBD_OutputRef                                               2   
RxFBD_OutputWireConnector                                     1   
RxFBD_OverlapGroup                                            0   
RxFBD_PAHBlock                                                2   
RxFBD_PAIBlock                                                2   
RxFBD_PAIDBlock                                               2   
RxFBD_PAIMBlock                                               2   
RxFBD_PAOBlock                                                2   
RxFBD_PBLBlock                                                2   
RxFBD_PCMDSRCBlock                                            2   
RxFBD_PD4SDBlock                                              2   
RxFBD_PDBCBlock                                               2   
RxFBD_PDIBlock                                                2   
RxFBD_PDOBlock                                                2   
RxFBD_PDOSEBlock                                              2   
RxFBD_PFOBlock                                                2   
RxFBD_PHLSBlock                                               2   
RxFBD_PINTLKBlock                                             2   
RxFBD_PLLSBlock                                               2   
RxFBD_PMTRBlock                                               2   
RxFBD_PNPOSBlock                                              2   
RxFBD_PPERMBlock                                              2   
RxFBD_PPIDBlock                                               2   
RxFBD_PPTCBlock                                               2   
RxFBD_PRIBlock                                                2   
RxFBD_PRTBlock                                                2   
RxFBD_PTSTBlock                                               2   
RxFBD_PVLVBlock                                               2   
RxFBD_PVLVMPBlock                                             2   
RxFBD_PVLVSBlock                                              2   
RxFBD_PVSDBlock                                               2   
RxFBD_PiBlock                                                 2   
RxFBD_PideAutotune                                            1   
RxFBD_PideBlock                                               1   
RxFBD_PmulBlock                                               2   
RxFBD_PospBlock                                               2   
RxFBD_RadBlock                                                2   
RxFBD_RadFunction                                             1   
RxFBD_ResdBlock                                               2   
RxFBD_RlimBlock                                               2   
RxFBD_RmpsBlock                                               2   
RxFBD_RoutineEditingCompositeLanguageContainer                2   
RxFBD_RtoBlock                                                2   
RxFBD_SawBlock                                                2   
RxFBD_SclBlock                                                2   
RxFBD_ScrvBlock                                               2   
RxFBD_SelBlock                                                2   
RxFBD_SetdBlock                                               2   
RxFBD_SinBlock                                                2   
RxFBD_SinFunction                                             1   
RxFBD_SnegBlock                                               2   
RxFBD_SocBlock                                                2   
RxFBD_SpecialArray                                            0   
RxFBD_SpecialArrayCollection                                  0   
RxFBD_SqrBlock                                                2   
RxFBD_SqrFunction                                             1   
RxFBD_SrtpBlock                                               2   
RxFBD_SsumBlock                                               2   
RxFBD_SubBlock                                                2   
RxFBD_SubFunction                                             1   
RxFBD_TanBlock                                                2   
RxFBD_TanFunction                                             1   
RxFBD_TodBlock                                                2   
RxFBD_TofBlock                                                2   
RxFBD_TonBlock                                                2   
RxFBD_TotBlock                                                2   
RxFBD_TrnBlock                                                2   
RxFBD_TrnFunction                                             1   
RxFBD_UDIArgumentCollection                                   1   
RxFBD_UDIBlock                                                2   
RxFBD_UpdnBlock                                               2   
RxFBD_Wire                                                    7   
RxFBD_WireConCompilerRegionList                               1   
RxFBD_WireConnectorGroup                                      0   
RxFBD_XorBlock                                                2   
RxFBD_XorFunction                                             1   
RxFBD_XpyBlock                                                2   
RxFBD_XpyFunction                                             1   
RxFFLDBus                                                     0   
RxFaultLog                                                    2   
RxFesto_CPX_AP_ABus                                           0   
RxFileManager                                                 1   
RxFlexBus                                                     0   
RxFlexVB                                                      0   
RxGuardLinkBus                                                0   
RxHARTBus                                                     0   
RxHMIBC                                                       0   
RxHMIBCCollection                                             0   
RxICP                                                         2   
RxIOLinkBus                                                   0   
RxKwikLinkIPBus                                               0   
RxLabel                                                       2   
RxLabelCollection                                             0   
RxLanguageElement                                             1   
RxLanguageElementCollection                                   0   
RxLeg                                                         4   
RxLegCollection                                               1   
RxLibraryObj                                                  0   
RxLibraryObjCollection                                        0   
RxMapConnection                                              42   
RxMapConnectionCollection                                     0   
RxMapDevice                                                 174   
RxMapDeviceCollection                                         0   
RxMemoryServices                                              9   
RxMetadataDefComp                                             0   
RxMetadataDefCompCollection                                   0   
RxMotionGroup                                                17   
RxMotionGroupCollection                                       0   
RxMsg                                                         7   
RxMsgCollection                                               0   
RxNetlinxVBProxy                                              0   
RxPCCC                                                        3   
RxPepperFuchsFBBus                                            1   
RxPepperFuchsLBBus                                            1   
RxPointBus                                                    1   
RxPort                                                        8   
RxPortCollection                                              0   
RxProgramCollection                                           0   
RxProgramWire                                                 1   
RxQuickWatch                                                  2   
RxQuickWatchCollection                                        0   
RxRIOBus                                                      0   
RxRIOChassisBus                                               0   
RxRoutine                                                    54   
RxRoutineCollection                                           0   
RxRoutineCommentManager                                       1   
RxSABO                                                        0   
RxSABOCollection                                              0   
RxSERCOSBus                                                   1   
RxSFC_DivergeSimulLegElement                                  1   
RxSFC_ExecutionModel                                          1   
RxSFC_OnlineEditingCompositeLanguageContainer                 1   
RxSFC_TransitionElement                                       1   
RxSTX_LanguageContainer                                      10   
RxSTX_TextLine                                                2   
RxSTX_ZoneManager                                             1   
RxSafetyController                                            7   
RxSafetySnapshotManager                                       2   
RxSegment                                                     2   
RxSegmentCollection                                           0   
RxSegmentGraph                                                0   
RxSerialPort                                                  3   
RxSheet                                                       1   
RxSheetCollection                                             0   
RxSoftLogixVB                                                 0   
RxStep                                                        2   
RxStepCollection                                              0   
RxTag                                                        63   
RxTagCollection                                               0   
RxTask                                                       18   
RxTaskCollection                                              0   
RxTestPODbConversion                                          0   
RxTestPODbConversionCollection                                0   
RxTimeSynchronize                                             1   
RxTransition                                                  4   
RxTransitionCollection                                        1   
RxTrendGroup                                                  5   
RxTrendGroupCollection                                        0   
RxUDIDefinition                                              21   
RxUDIDefinitionCollection                                     0   
RxWallClockTime                                               5   
RxXMBus                                                       0   

