TAG,,ENET_ECP100_B_0:1:O,"","AB:5000_DO16:O:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,ENET_ECP100_B_0:2:C,"","AB:5000_DO16_Diag:C:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,ENET_ECP100_B_0:2:I,"","AB:5000_DO16_Diag:I:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,ENET_ECP100_B_0:2:O,"","AB:5000_DO16:O:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,ENET_ECP100_B_0:3:C,"","AB:5000_DO16_Diag:C:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,ENET_ECP100_B_0:3:I,"","AB:5000_DO16_Diag:I:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,ENET_ECP100_B_0:3:O,"","AB:5000_DO16:O:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,ENET_ECP100_B_0:4:C,"","AB:5000_DO16_Diag:C:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,ENET_ECP100_B_0:4:I,"","AB:5000_DO16_Diag:I:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,ENET_ECP100_B_0:4:O,"","AB:5000_DO16:O:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,ENET_ECP100_B_0:5:C,"","AB:5000_DO16_Diag:C:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,ENET_ECP100_B_0:5:I,"","AB:5000_DO16_Diag:I:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,ENET_ECP100_B_0:5:O,"","AB:5000_DO16:O:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,ENET_ECP102_A_0:1:C,"","AB:5000_DI32:C:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,ENET_ECP102_A_0:1:I,"","AB:5000_DI32:I:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,ENET_ECP102_A_0:2:C,"","AB:5000_DI32:C:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,ENET_ECP102_A_0:2:I,"","AB:5000_DI32:I:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,ENET_ECP102_A_0:3:C,"","AB:5000_DI32:C:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,ENET_ECP102_A_0:3:I,"","AB:5000_DI32:I:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,FAN_095:I,"","AB:PowerFlex755_E_EF8E23A2:I:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,FAN_095:O,"","AB:PowerFlex755_E_73215AC2:O:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,AGI_2021:I,"","AB:PowerFlex525V_E_F6C9C23A:I:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,AGI_2021:O,"","AB:PowerFlex525V_EENET_Drive:O:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,FAN_045:C,"EXHAUST FAN","AB:E300:C:3","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,FAN_045:I,"EXHAUST FAN","AB:E300:I:3","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,FAN_045:O,"EXHAUST FAN","AB:E300:O:1","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,CONV_005:I,"CONV_005 $NRecieving Grain Conveyor","AB:PowerFlex525V_E_F6C9C23A:I:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,CONV_005:O,"CONV_005 $NRecieving Grain Conveyor","AB:PowerFlex525V_EENET_Drive:O:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,ENET_ECP100_C_0:1:C,"","AB:5000_AI8SCJ:C:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,ENET_ECP100_C_0:1:I,"","AB:5000_AI8CJ:I:0","","(EngineeringUnit.CH00.DATA := ""%"", EngineeringUnit.CH01.DATA := ""pph"", EngineeringUnit.CH02.DATA := ""%"", EngineeringUnit.CH03.DATA := ""%"", EngineeringUnit.CH04.DATA := ""%"", EngineeringUnit.CH05.DATA := ""%"", EngineeringUnit.CH06.DATA := ""%"", EngineeringUnit.CH07.DATA := ""%"", Class := Standard, ExternalAccess := Read/Write)"
TAG,,ENET_ECP100_C_0:1:O,"","AB:5000_AI8:O:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,ENET_ECP100_C_0:2:C,"","AB:5000_AI8SCJ:C:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,ENET_ECP100_C_0:2:I,"","AB:5000_AI8CJ:I:0","","(EngineeringUnit.CH00.DATA := ""%"", EngineeringUnit.CH01.DATA := ""%"", EngineeringUnit.CH02.DATA := ""%"", EngineeringUnit.CH03.DATA := ""%"", EngineeringUnit.CH04.DATA := ""%"", EngineeringUnit.CH05.DATA := ""pph"", EngineeringUnit.CH06.DATA := ""%"", EngineeringUnit.CH07.DATA := ""%"", Class := Standard, ExternalAccess := Read/Write)"
TAG,,ENET_ECP100_C_0:2:O,"","AB:5000_AI8:O:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,ENET_ECP100_C_0:3:C,"","AB:5000_AI8SCJ:C:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,ENET_ECP100_C_0:3:I,"","AB:5000_AI8CJ:I:0","","(EngineeringUnit.CH00.DATA := ""%"", EngineeringUnit.CH01.DATA := ""F"", EngineeringUnit.CH02.DATA := ""F"", EngineeringUnit.CH03.DATA := ""F"", EngineeringUnit.CH04.DATA := ""%"", EngineeringUnit.CH05.DATA := ""%"", EngineeringUnit.CH06.DATA := ""%"", EngineeringUnit.CH07.DATA := ""%"", Class := Standard, ExternalAccess := Read/Write)"
TAG,,ENET_ECP100_C_0:3:O,"","AB:5000_AI8:O:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,ENET_ECP100_C_0:4:C,"","AB:5000_AI8SCJ:C:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,ENET_ECP100_C_0:4:I,"","AB:5000_AI8CJ:I:0","","(EngineeringUnit.CH00.DATA := ""F"", EngineeringUnit.CH01.DATA := ""F"", EngineeringUnit.CH02.DATA := ""F"", EngineeringUnit.CH03.DATA := ""F"", EngineeringUnit.CH04.DATA := ""%"", EngineeringUnit.CH05.DATA := ""%"", EngineeringUnit.CH06.DATA := ""%"", EngineeringUnit.CH07.DATA := ""%"", Class := Standard, ExternalAccess := Read/Write)"
TAG,,ENET_ECP100_C_0:4:O,"","AB:5000_AI8:O:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,ENET_ECP100_C_0:6:C,"","AB:5000_AO8:C:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,ENET_ECP100_C_0:6:I,"","AB:5000_AO8:I:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,ENET_ECP100_C_0:6:O,"","AB:5000_AO8:O:0","","(EngineeringUnit.CH00.DATA := ""%"", EngineeringUnit.CH01.DATA := ""%"", EngineeringUnit.CH02.DATA := ""%"", EngineeringUnit.CH03.DATA := ""%"", EngineeringUnit.CH04.DATA := ""%"", EngineeringUnit.CH05.DATA := ""%"", EngineeringUnit.CH06.DATA := ""%"", EngineeringUnit.CH07.DATA := ""%"", Class := Standard, ExternalAccess := Read/Write)"
TAG,,ENET_ECP100_C_0:7:C,"","AB:5000_AO8:C:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,ENET_ECP100_C_0:7:I,"","AB:5000_AO8:I:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,ENET_ECP100_C_0:7:O,"","AB:5000_AO8:O:0","","(EngineeringUnit.CH00.DATA := ""%"", EngineeringUnit.CH01.DATA := ""%"", EngineeringUnit.CH02.DATA := ""%"", EngineeringUnit.CH03.DATA := ""%"", EngineeringUnit.CH04.DATA := ""%"", EngineeringUnit.CH05.DATA := ""%"", EngineeringUnit.CH06.DATA := ""%"", EngineeringUnit.CH07.DATA := ""%"", Class := Standard, ExternalAccess := Read/Write)"
TAG,,CONV_055:I,"CONV_055 Inclined Reclaim to Mill #1 Surge Bin","AB:PowerFlex525V_E_F6C9C23A:I:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,CONV_055:O,"CONV_055 Inclined Reclaim to Mill #1 Surge Bin","AB:PowerFlex525V_EENET_Drive:O:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,CONV_140:I,"CONV_140 Corn Scale Feeder Screw","AB:PowerFlex525V_E_F6C9C23A:I:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,CONV_140:O,"CONV_140 Corn Scale Feeder Screw","AB:PowerFlex525V_EENET_Drive:O:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,ENET_ECP102_ENET_35004:I,"","AB:STRATIX_5200_10PORT_GB_MANAGED:I:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,FIT_2038:C,"","EH:Promag_300_500:C:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,FIT_2038:I1,"","EH:Promag_300_500_FixIn:I1:0","","(Class := Standard, ExternalAccess := Read/Write)"
COMMENT,,FIT_2038:I1,"HW Flush to Fermenter Set Point",,"FIT_2038:I1.PROCESS_VARIABLES_TOTALIZER_VALUE_2"
TAG,,FIT_2038:O1,"","EH:Promag_300_500_FixOut:O1:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,WIT_35029:I,"","ME:ACT350_2P_Enet_Block2R:I:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,WIT_35029:O,"","ME:ACT350_2P_Enet_Block2W:O:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,XFV_100:I,"XFV_100 Dust Collector Rotary Valve #1","AB:PowerFlex525V_E_F6C9C23A:I:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,XFV_100:O,"XFV_100 Dust Collector Rotary Valve #1","AB:PowerFlex525V_EENET_Drive:O:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,CONV_155:I,"CONV_155 Cooker Feed Conveyor","AB:PowerFlex525V_E_F6C9C23A:I:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,CONV_155:O,"CONV_155 Cooker Feed Conveyor","AB:PowerFlex525V_EENET_Drive:O:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,ENET_ECP102_B_0:1:C,"","AB:5000_DO16_Diag:C:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,ENET_ECP102_B_0:1:I,"","AB:5000_DO16_Diag:I:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,ENET_ECP102_B_0:1:O,"","AB:5000_DO16:O:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,ENET_ECP102_B_0:2:C,"","AB:5000_DO16_Diag:C:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,ENET_ECP102_B_0:2:I,"","AB:5000_DO16_Diag:I:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,ENET_ECP102_B_0:2:O,"","AB:5000_DO16:O:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,ENET_ECP102_B_0:3:C,"","AB:5000_DO16_Diag:C:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,ENET_ECP102_B_0:3:I,"","AB:5000_DO16_Diag:I:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,ENET_ECP102_B_0:3:O,"","AB:5000_DO16:O:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,ENET_ECP102_B_0:4:C,"","AB:5000_DO8:C:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,ENET_ECP102_B_0:4:I,"","AB:5000_DO8:I:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,ENET_ECP102_B_0:4:O,"","AB:5000_DO8:O:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,ENET_ECP102_B_0:5:C,"","AB:5000_DO8:C:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,ENET_ECP102_B_0:5:I,"","AB:5000_DO8:I:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,ENET_ECP102_B_0:5:O,"","AB:5000_DO8:O:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,PMP_2020_2021:I,"","AB:PowerFlex755_E_EF8E23A2:I:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,PMP_2020_2021:O,"","AB:PowerFlex755_E_73215AC2:O:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,FAN_025:C,"EXHAUST FAN","AB:E300:C:3","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,FAN_025:I,"EXHAUST FAN","AB:E300:I:3","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,FAN_025:O,"EXHAUST FAN","AB:E300:O:1","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,FAN_010:C,"EXHAUST FAN","AB:E300:C:3","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,FAN_010:I,"EXHAUST FAN","AB:E300:I:3","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,FAN_010:O,"EXHAUST FAN","AB:E300:O:1","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,CONV_130:I,"CONV_130 Rye Scale Feeder Screw","AB:PowerFlex525V_E_F6C9C23A:I:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,CONV_130:O,"CONV_130 Rye Scale Feeder Screw","AB:PowerFlex525V_EENET_Drive:O:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,WIT_35028:I,"","ME:ACT350_2P_Enet_Block2R:I:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,WIT_35028:O,"","ME:ACT350_2P_Enet_Block2W:O:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,PLC400_EN4TR:I,"","AB:1756_ENET_7SLOT:I:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,PLC400_EN4TR:O,"","AB:1756_ENET_7SLOT:O:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,ENET_ECP103_A_0:1:I,"","AB:5000_SDI16:I:0","","(Class := Safety, ExternalAccess := Read/Write)"
TAG,,ENET_ECP103_A_0:1:O,"","AB:5000_SDI16:O:0","","(Class := Safety, ExternalAccess := Read/Write)"
TAG,,ENET_ECP103_A_0:2:C,"","AB:5000_DI16_Diag:C:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,ENET_ECP103_A_0:2:I,"","AB:5000_DI16:I:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,ENET_ECP103_A_0:3:I,"","AB:5000_SDO16:I:0","","(Class := Safety, ExternalAccess := Read/Write)"
TAG,,ENET_ECP103_A_0:3:O,"","AB:5000_SDO16:O:0","","(Class := Safety, ExternalAccess := Read/Write)"
TAG,,ENET_ECP103_A_0:4:C,"","AB:5000_AI8SCJ:C:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,ENET_ECP103_A_0:4:I,"","AB:5000_AI8CJ:I:0","","(EngineeringUnit.CH00.DATA := ""°F"", EngineeringUnit.CH01.DATA := ""°F"", EngineeringUnit.CH02.DATA := ""in"", EngineeringUnit.CH03.DATA := ""°C"", EngineeringUnit.CH06.DATA := ""%"", EngineeringUnit.CH07.DATA := ""%"", Class := Standard, ExternalAccess := Read/Write)"
TAG,,ENET_ECP103_A_0:4:O,"","AB:5000_AI8:O:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,ENET_ECP103_A_0:5:C,"","AB:5000_AO8:C:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,ENET_ECP103_A_0:5:I,"","AB:5000_AO8:I:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,ENET_ECP103_A_0:5:O,"","AB:5000_AO8:O:0","","(EngineeringUnit.CH00.DATA := ""%"", Class := Standard, ExternalAccess := Read/Write)"
TAG,,ENET_ECP102_C_0:1:C,"","AB:5000_AI8SCJ:C:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,ENET_ECP102_C_0:1:I,"","AB:5000_AI8CJ:I:0","","(EngineeringUnit.CH00.DATA := ""°F"", EngineeringUnit.CH01.DATA := ""°F"", EngineeringUnit.CH02.DATA := ""°F"", EngineeringUnit.CH03.DATA := ""°F"", EngineeringUnit.CH04.DATA := ""CFM"", EngineeringUnit.CH05.DATA := ""CFM"", EngineeringUnit.CH07.DATA := ""%"", Class := Standard, ExternalAccess := Read/Write)"
TAG,,ENET_ECP102_C_0:1:O,"","AB:5000_AI8:O:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,ENET_ECP102_C_0:2:C,"","AB:5000_AI8SCJ:C:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,ENET_ECP102_C_0:2:I,"","AB:5000_AI8CJ:I:0","","(EngineeringUnit.CH00.DATA := ""%"", EngineeringUnit.CH01.DATA := ""%"", EngineeringUnit.CH02.DATA := ""%"", EngineeringUnit.CH03.DATA := ""%"", EngineeringUnit.CH04.DATA := ""%"", EngineeringUnit.CH05.DATA := ""inWC"", EngineeringUnit.CH06.DATA := ""%"", EngineeringUnit.CH07.DATA := ""%"", Class := Standard, ExternalAccess := Read/Write)"
TAG,,ENET_ECP102_C_0:2:O,"","AB:5000_AI8:O:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,AAG_TEST,"","BOOL","","(Class := Standard, RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,AfterFebruary,"","BOOL","","(Class := Standard, RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,AGI_2014,"","PF525_VFD_E_ENET","","(Class := Standard, Constant := false, ExternalAccess := Read/Write)"
COMMENT,,AGI_2014,"Cooker #1 Agitator - Normal Speed",,"AGI_2014.AS1_ENABLE"
COMMENT,,AGI_2014,"Cooker #1 Agitator - Slow Speed",,"AGI_2014.AS2_ENABLE"
COMMENT,,AGI_2014,"Cooker #1 Agitator - Auto-Speed 1",,"AGI_2014.SP_AS1"
COMMENT,,AGI_2014,"Cooker #1 Agitator - Auto-Speed 2",,"AGI_2014.SP_AS2"
TAG,,AGI_2021,"","PF525_VFD_E_ENET","","(Class := Standard, Constant := false, ExternalAccess := Read/Write)"
COMMENT,,AGI_2021,"Cooker #2 Agitator - Normal Speed",,"AGI_2021.AS1_ENABLE"
COMMENT,,AGI_2021,"Cooker #2 Agitator - Slow Speed",,"AGI_2021.AS2_ENABLE"
COMMENT,,AGI_2021,"Cooker #2 Agitator - Auto-Speed 1",,"AGI_2021.SP_AS1"
COMMENT,,AGI_2021,"Cooker #2 Agitator - Auto-Speed 2",,"AGI_2021.SP_AS2"
TAG,,AGI_2042,"","PF525_VFD_E_ENET","","(Class := Standard, Constant := false, ExternalAccess := Read/Write)"
ALIAS,,AI_ECP100_C_1,"","","ENET_ECP100_C_0:1:I","(ExternalAccess := Read/Write)"
COMMENT,,AI_ECP100_C_1,"LIT-2007 - MASH WATER TANK LEVEL 0.20$'",,"AI_ECP100_C_1.CH00"
